name,description,styleUrl,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,Point/coordinates,label
茨城1 かつら,﻿id: 8001<br>name: かつら<br>lat: 36.5449685<br>lng: 140.3330587,#icon-1899-DB4436-labelson,8001,﻿id,かつら,name,36.5449685,lat,140.3330587,lng,140.333058736.5449685,10
茨城2 みわ,﻿id: 8002<br>name: みわ<br>lat: 36.6558574<br>lng: 140.2800036,#icon-1899-DB4436-labelson,8002,﻿id,みわ,name,36.6558574,lat,140.2800036,lng,140.280003636.6558574,10
茨城3 さとみ,﻿id: 8003<br>name: さとみ<br>lat: 36.7057462<br>lng: 140.5096817,#icon-1899-DB4436-labelson,8003,﻿id,さとみ,name,36.7057462,lat,140.5096817,lng,140.509681736.7057462,10
茨城4 さかい,﻿id: 8004<br>name: さかい<br>lat: 36.102676<br>lng: 139.795303,#icon-1899-DB4436-labelson,8004,﻿id,さかい,name,36.102676,lat,139.795303,lng,139.79530336.102676,7
茨城5 奥久慈だいご,﻿id: 8005<br>name: 奥久慈だいご<br>lat: 36.7685851<br>lng: 140.3592347,#icon-1899-DB4436-labelson,8005,﻿id,奥久慈だいご,name,36.7685851,lat,140.3592347,lng,140.359234736.7685851,10
茨城6 しもつま,﻿id: 8006<br>name: しもつま<br>lat: 36.2158407<br>lng: 139.9865962,#icon-1899-DB4436-labelson,8006,﻿id,しもつま,name,36.2158407,lat,139.9865962,lng,139.986596236.2158407,7
茨城7 たまつくり,﻿id: 8007<br>name: たまつくり<br>lat: 36.0963942<br>lng: 140.4037633,#icon-1899-DB4436-labelson,8007,﻿id,たまつくり,name,36.0963942,lat,140.4037633,lng,140.403763336.0963942,1
茨城8 いたこ,﻿id: 8008<br>name: いたこ<br>lat: 35.9461322<br>lng: 140.5892448,#icon-1899-DB4436-labelson,8008,﻿id,いたこ,name,35.9461322,lat,140.5892448,lng,140.589244835.9461322,1
茨城9 ごか,﻿id: 8009<br>name: ごか<br>lat: 36.0952767<br>lng: 139.7583317,#icon-1899-DB4436-labelson,8009,﻿id,ごか,name,36.0952767,lat,139.7583317,lng,139.758331736.0952767,7
茨城10 まくらがの里　こが,﻿id: 8010<br>name: まくらがの里　こが<br>lat: 36.191431<br>lng: 139.789732,#icon-1899-DB4436-labelson,8010,﻿id,まくらがの里　こが,name,36.191431,lat,139.789732,lng,139.78973236.191431,7
茨城11 日立おさかなセンター,﻿id: 8011<br>name: 日立おさかなセンター<br>lat: 36.4923537<br>lng: 140.6151942,#icon-1899-DB4436-labelson,8011,﻿id,日立おさかなセンター,name,36.4923537,lat,140.6151942,lng,140.615194236.4923537,10
茨城12 常陸大宮,﻿id: 8012<br>name: 常陸大宮<br>lat: 36.5969609<br>lng: 140.4096155,#icon-1899-DB4436-labelson,8012,﻿id,常陸大宮,name,36.5969609,lat,140.4096155,lng,140.409615536.5969609,10
茨城13 ひたちおおた,﻿id: 8013<br>name: ひたちおおた<br>lat: 36.5103878<br>lng: 140.5254761,#icon-1899-DB4436-labelson,8013,﻿id,ひたちおおた,name,36.5103878,lat,140.5254761,lng,140.525476136.5103878,10
栃木1 もてぎ,﻿id: 9001<br>name: もてぎ<br>lat: 36.5278259<br>lng: 140.1728576,#icon-1899-DB4436-labelson,9001,﻿id,もてぎ,name,36.5278259,lat,140.1728576,lng,140.172857636.5278259,10
栃木2 にのみや,﻿id: 9002<br>name: にのみや<br>lat: 36.3673361<br>lng: 139.964996,#icon-1899-DB4436-labelson,9002,﻿id,にのみや,name,36.3673361,lat,139.964996,lng,139.96499636.3673361,7
栃木3 湯の香しおばら,﻿id: 9003<br>name: 湯の香しおばら<br>lat: 36.9557969<br>lng: 139.8993301,#icon-1899-DB4436-labelson,9003,﻿id,湯の香しおばら,name,36.9557969,lat,139.8993301,lng,139.899330136.9557969,5
栃木4 那須高原友愛の森,﻿id: 9004<br>name: 那須高原友愛の森<br>lat: 37.0415321<br>lng: 140.0137036,#icon-1899-DB4436-labelson,9004,﻿id,那須高原友愛の森,name,37.0415321,lat,140.0137036,lng,140.013703637.0415321,5
栃木5 明治の森・黒磯,﻿id: 9005<br>name: 明治の森・黒磯<br>lat: 37.000375<br>lng: 139.984479,#icon-1899-DB4436-labelson,9005,﻿id,明治の森・黒磯,name,37.000375,lat,139.984479,lng,139.98447937.000375,5
栃木6 ばとう,﻿id: 9006<br>name: ばとう<br>lat: 36.7476018<br>lng: 140.1498715,#icon-1899-DB4436-labelson,9006,﻿id,ばとう,name,36.7476018,lat,140.1498715,lng,140.149871536.7476018,5
栃木7 東山道伊王野,﻿id: 9007<br>name: 東山道伊王野<br>lat: 36.9540486<br>lng: 140.157412,#icon-1899-DB4436-labelson,9007,﻿id,東山道伊王野,name,36.9540486,lat,140.157412,lng,140.15741236.9540486,5
栃木8 きつれがわ,﻿id: 9008<br>name: きつれがわ<br>lat: 36.7154994<br>lng: 140.0326363,#icon-1899-DB4436-labelson,9008,﻿id,きつれがわ,name,36.7154994,lat,140.0326363,lng,140.032636336.7154994,5
